load_1_0;load_2_1;load_3_2;load_4_3;load_5_4;load_8_5;load_9_6;load_10_7;load_11_8;load_12_9;load_13_10
19.4;91.3;43.7;7.2;10.2;26.7;8.0;3.0;5.5;12.6;13.8
19.5;91.5;43.9;7.2;10.2;26.8;8.0;3.1;5.5;12.6;13.9
19.6;91.9;44.2;7.2;10.3;26.9;8.1;3.1;5.5;12.7;13.9
19.7;92.2;44.5;7.3;10.4;27.1;8.1;3.1;5.6;12.8;14.0
19.8;92.6;44.9;7.3;10.4;27.2;8.2;3.1;5.6;12.9;14.1
20.0;93.0;45.2;7.3;10.5;27.4;8.2;3.1;5.7;13.0;14.1
20.1;93.3;45.4;7.4;10.5;27.5;8.3;3.1;5.7;13.1;14.2
20.2;93.7;45.6;7.4;10.6;27.7;8.3;3.2;5.7;13.1;14.2
20.3;94.0;45.8;7.4;10.6;27.8;8.3;3.2;5.8;13.2;14.3
20.3;94.3;46.0;7.5;10.7;27.9;8.4;3.2;5.8;13.3;14.3
20.4;94.6;46.2;7.5;10.7;28.0;8.4;3.2;5.8;13.3;14.4
20.6;95.0;46.5;7.5;10.8;28.1;8.4;3.2;5.9;13.4;14.4
20.7;95.5;46.8;7.6;10.8;28.3;8.5;3.3;5.9;13.5;14.5
20.9;96.0;47.2;7.6;10.9;28.5;8.6;3.3;6.0;13.6;14.6
21.1;96.7;47.7;7.7;11.0;28.8;8.7;3.3;6.1;13.8;14.7
21.3;97.3;48.3;7.8;11.1;29.1;8.8;3.4;6.1;13.9;14.8
21.6;98.0;48.9;7.8;11.2;29.3;8.9;3.4;6.2;14.1;14.9
21.8;98.8;49.4;7.9;11.3;29.6;8.9;3.5;6.3;14.2;15.0
22.0;99.4;50.0;8.0;11.5;29.9;9.0;3.5;6.4;14.4;15.2
22.2;100.1;50.5;8.1;11.5;30.1;9.1;3.5;6.4;14.5;15.3
22.4;100.7;51.0;8.1;11.6;30.4;9.2;3.6;6.5;14.6;15.4
22.6;101.3;51.4;8.2;11.7;30.6;9.3;3.6;6.5;14.7;15.5
22.7;101.9;51.8;8.2;11.8;30.8;9.3;3.6;6.5;14.7;15.6
22.9;102.4;52.3;8.3;11.9;31.0;9.4;3.6;6.6;14.8;15.6
23.1;103.0;52.7;8.4;11.9;31.3;9.5;3.7;6.6;14.9;15.8
23.2;103.5;53.2;8.4;12.0;31.5;9.5;3.7;6.6;15.0;15.9
23.4;104.1;53.7;8.5;12.1;31.7;9.6;3.7;6.7;15.1;16.0
23.6;104.6;54.2;8.5;12.2;32.0;9.6;3.7;6.7;15.1;16.1
23.8;105.1;54.6;8.6;12.3;32.2;9.6;3.7;6.8;15.2;16.2
24.0;105.6;55.1;8.6;12.4;32.3;9.7;3.8;6.8;15.3;16.3
24.2;106.1;55.5;8.7;12.4;32.5;9.7;3.8;6.9;15.4;16.4
24.3;106.5;55.8;8.7;12.5;32.6;9.7;3.8;6.9;15.5;16.5
24.4;106.9;56.1;8.7;12.5;32.7;9.7;3.8;6.9;15.5;16.5
24.5;107.2;56.3;8.7;12.5;32.7;9.7;3.8;6.9;15.6;16.6
24.6;107.5;56.5;8.8;12.6;32.8;9.7;3.8;7.0;15.6;16.6
24.7;107.7;56.6;8.8;12.6;32.8;9.7;3.8;7.0;15.7;16.6
24.8;107.9;56.6;8.8;12.6;32.9;9.7;3.8;7.0;15.7;16.6
24.8;107.9;56.6;8.8;12.6;32.9;9.7;3.8;7.0;15.7;16.6
24.8;107.9;56.6;8.8;12.6;33.0;9.7;3.8;7.0;15.7;16.6
24.9;107.9;56.5;8.8;12.6;33.1;9.8;3.8;7.0;15.7;16.6
24.9;107.9;56.5;8.8;12.7;33.1;9.8;3.8;7.0;15.8;16.6
24.9;107.8;56.4;8.8;12.7;33.2;9.8;3.9;7.0;15.8;16.6
24.9;107.7;56.4;8.8;12.7;33.3;9.9;3.9;7.0;15.8;16.6
24.9;107.7;56.4;8.8;12.7;33.4;9.9;3.9;7.1;15.8;16.6
24.9;107.6;56.4;8.8;12.7;33.4;9.9;3.9;7.1;15.8;16.5
24.9;107.6;56.5;8.8;12.8;33.5;9.9;3.9;7.1;15.9;16.5
24.9;107.6;56.5;8.8;12.8;33.5;9.9;3.9;7.1;15.9;16.5
24.9;107.5;56.6;8.8;12.8;33.6;9.9;3.9;7.1;15.9;16.5
24.9;107.5;56.6;8.8;12.8;33.6;9.9;3.9;7.1;15.9;16.5
24.9;107.5;56.7;8.8;12.8;33.6;9.9;3.9;7.1;15.9;16.5
24.9;107.4;56.7;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;107.3;56.7;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;107.2;56.7;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;107.1;56.7;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;107.0;56.7;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;106.8;56.7;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;106.7;56.6;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;106.5;56.6;8.8;12.8;33.7;9.9;3.9;7.1;15.9;16.5
24.9;106.3;56.6;8.8;12.8;33.6;9.9;3.8;7.1;15.9;16.4
24.8;106.1;56.5;8.8;12.8;33.6;9.9;3.8;7.1;15.9;16.4
24.8;105.9;56.5;8.8;12.8;33.6;9.9;3.8;7.1;15.9;16.4
24.8;105.6;56.4;8.8;12.8;33.5;9.8;3.8;7.1;15.9;16.4
24.7;105.4;56.4;8.8;12.8;33.5;9.8;3.8;7.0;15.9;16.4
24.7;105.2;56.3;8.8;12.7;33.4;9.8;3.8;7.0;15.8;16.4
24.7;104.9;56.3;8.7;12.7;33.4;9.8;3.8;7.0;15.8;16.4
24.6;104.7;56.2;8.7;12.7;33.4;9.8;3.8;7.0;15.8;16.4
24.6;104.4;56.1;8.7;12.7;33.3;9.8;3.8;7.0;15.8;16.3
24.6;104.1;56.1;8.7;12.6;33.3;9.8;3.8;7.0;15.8;16.3
24.5;103.9;56.0;8.7;12.6;33.2;9.8;3.8;7.0;15.7;16.3
24.5;103.7;56.0;8.7;12.6;33.2;9.7;3.8;7.0;15.7;16.3
24.5;103.4;55.9;8.7;12.6;33.2;9.7;3.8;7.0;15.7;16.2
24.4;103.2;55.9;8.7;12.6;33.2;9.7;3.8;7.0;15.7;16.2
24.4;103.0;55.8;8.7;12.5;33.2;9.7;3.8;7.0;15.7;16.2
24.4;102.9;55.8;8.6;12.5;33.1;9.7;3.8;7.0;15.6;16.2
24.4;102.7;55.8;8.6;12.5;33.2;9.7;3.8;7.0;15.6;16.2
24.4;102.6;55.8;8.6;12.5;33.2;9.7;3.7;7.0;15.6;16.2
24.4;102.4;55.9;8.6;12.5;33.2;9.7;3.7;7.0;15.6;16.2
24.4;102.3;55.9;8.6;12.5;33.2;9.7;3.7;7.0;15.6;16.2
24.4;102.1;55.9;8.6;12.5;33.2;9.7;3.7;7.0;15.6;16.2
24.4;102.0;55.9;8.6;12.5;33.2;9.7;3.7;7.0;15.6;16.2
24.4;101.8;55.9;8.6;12.5;33.3;9.7;3.7;7.0;15.6;16.2
24.4;101.6;55.9;8.6;12.5;33.3;9.7;3.7;7.0;15.6;16.1
24.3;101.4;55.9;8.6;12.5;33.3;9.7;3.7;7.0;15.6;16.1
24.3;101.1;55.9;8.6;12.5;33.3;9.7;3.7;7.0;15.6;16.1
24.3;100.8;55.8;8.6;12.4;33.3;9.6;3.7;7.0;15.6;16.1
24.2;100.5;55.7;8.6;12.4;33.2;9.6;3.7;7.0;15.5;16.0
24.2;100.2;55.5;8.6;12.4;33.1;9.6;3.7;7.0;15.5;16.0
24.1;99.8;55.4;8.5;12.3;33.0;9.6;3.7;6.9;15.4;15.9
24.0;99.5;55.3;8.5;12.3;33.0;9.5;3.7;6.9;15.4;15.9
24.0;99.2;55.1;8.5;12.2;32.9;9.5;3.7;6.9;15.4;15.8
23.9;99.0;55.1;8.5;12.2;32.9;9.5;3.7;6.9;15.3;15.8
23.9;98.8;55.1;8.5;12.2;32.8;9.5;3.7;6.9;15.3;15.8
23.9;98.7;55.1;8.5;12.2;32.8;9.5;3.7;6.9;15.3;15.8
23.9;98.7;55.1;8.5;12.2;32.9;9.5;3.7;6.9;15.3;15.8
23.9;98.6;55.2;8.5;12.2;32.9;9.5;3.7;6.9;15.4;15.8
23.9;98.4;55.2;8.5;12.2;32.8;9.5;3.7;6.9;15.3;15.8
23.9;98.2;55.2;8.5;12.2;32.8;9.5;3.7;6.9;15.3;15.8
23.8;97.9;55.1;8.4;12.1;32.7;9.4;3.7;6.9;15.3;15.7
23.8;97.4;55.0;8.4;12.1;32.6;9.4;3.7;6.9;15.2;15.7
23.7;97.0;54.8;8.4;12.0;32.5;9.4;3.6;6.8;15.2;15.6
23.6;96.5;54.6;8.3;11.9;32.4;9.3;3.6;6.8;15.1;15.6
23.6;96.0;54.4;8.3;11.9;32.2;9.3;3.6;6.8;15.0;15.5
23.5;95.5;54.3;8.3;11.8;32.1;9.3;3.6;6.7;15.0;15.4
23.5;95.1;54.1;8.2;11.8;32.0;9.2;3.6;6.7;14.9;15.4
23.4;94.8;54.0;8.2;11.7;31.9;9.2;3.6;6.7;14.9;15.3
23.4;94.5;53.9;8.2;11.7;31.8;9.2;3.5;6.7;14.8;15.3
23.4;94.2;53.8;8.2;11.7;31.8;9.1;3.5;6.7;14.8;15.3
23.3;94.0;53.8;8.1;11.6;31.7;9.1;3.5;6.7;14.8;15.2
23.3;93.7;53.7;8.1;11.6;31.7;9.1;3.5;6.7;14.8;15.2
23.3;93.5;53.7;8.1;11.6;31.7;9.1;3.5;6.6;14.7;15.2
23.3;93.3;53.7;8.1;11.6;31.6;9.1;3.5;6.6;14.7;15.2
23.3;93.1;53.7;8.1;11.5;31.6;9.0;3.5;6.6;14.7;15.1
23.2;92.8;53.7;8.1;11.5;31.5;9.0;3.5;6.6;14.7;15.1
23.2;92.5;53.6;8.1;11.5;31.5;9.0;3.5;6.6;14.6;15.1
23.1;92.2;53.5;8.0;11.4;31.4;9.0;3.5;6.6;14.6;15.0
23.1;91.8;53.4;8.0;11.4;31.2;8.9;3.4;6.5;14.6;15.0
23.0;91.4;53.2;8.0;11.3;31.1;8.9;3.4;6.5;14.5;14.9
22.9;91.0;53.0;8.0;11.3;30.9;8.9;3.4;6.5;14.4;14.8
22.9;90.6;52.8;7.9;11.2;30.8;8.8;3.4;6.5;14.4;14.8
22.8;90.2;52.6;7.9;11.2;30.6;8.8;3.4;6.4;14.3;14.7
22.7;89.8;52.4;7.9;11.1;30.5;8.7;3.4;6.4;14.3;14.7
22.7;89.5;52.3;7.8;11.1;30.4;8.7;3.4;6.4;14.2;14.6
22.7;89.3;52.3;7.8;11.0;30.3;8.7;3.3;6.4;14.2;14.6
22.7;89.1;52.2;7.8;11.0;30.2;8.7;3.3;6.3;14.2;14.5
22.7;88.9;52.2;7.8;10.9;30.2;8.7;3.3;6.3;14.1;14.5
22.6;88.7;52.2;7.8;10.9;30.1;8.6;3.3;6.3;14.1;14.5
22.6;88.6;52.1;7.8;10.9;30.1;8.6;3.3;6.3;14.1;14.5
22.6;88.4;52.0;7.7;10.9;30.0;8.6;3.3;6.3;14.0;14.4
22.6;88.3;52.0;7.7;10.8;29.9;8.6;3.3;6.2;14.0;14.4
22.6;88.1;51.9;7.7;10.8;29.8;8.6;3.3;6.2;14.0;14.4
22.6;88.0;51.7;7.7;10.8;29.7;8.6;3.3;6.2;13.9;14.3
22.5;87.8;51.7;7.7;10.7;29.7;8.5;3.3;6.2;13.9;14.3
22.5;87.7;51.6;7.7;10.7;29.6;8.5;3.2;6.2;13.9;14.3
22.5;87.6;51.5;7.7;10.7;29.5;8.5;3.2;6.2;13.8;14.3
22.5;87.6;51.5;7.6;10.7;29.5;8.5;3.2;6.1;13.8;14.2
22.5;87.5;51.5;7.6;10.6;29.4;8.5;3.2;6.1;13.8;14.2
22.5;87.5;51.5;7.6;10.6;29.4;8.4;3.2;6.1;13.8;14.2
22.5;87.4;51.4;7.6;10.6;29.3;8.4;3.2;6.1;13.8;14.2
22.6;87.4;51.4;7.6;10.6;29.3;8.4;3.2;6.1;13.7;14.2
22.6;87.4;51.4;7.6;10.5;29.2;8.4;3.2;6.1;13.7;14.2
22.6;87.4;51.4;7.6;10.5;29.2;8.4;3.2;6.1;13.7;14.2
22.6;87.5;51.4;7.6;10.5;29.2;8.4;3.2;6.1;13.6;14.2
22.7;87.5;51.4;7.6;10.5;29.2;8.4;3.2;6.0;13.6;14.2
22.7;87.6;51.4;7.6;10.5;29.1;8.4;3.1;6.0;13.6;14.2
22.8;87.8;51.4;7.6;10.5;29.1;8.4;3.1;6.0;13.6;14.2
22.9;87.9;51.5;7.6;10.5;29.1;8.3;3.1;6.0;13.5;14.2
22.9;88.1;51.5;7.6;10.5;29.1;8.3;3.1;6.0;13.5;14.2
23.0;88.4;51.6;7.6;10.5;29.1;8.3;3.1;6.0;13.5;14.2
23.1;88.7;51.7;7.6;10.5;29.2;8.4;3.1;6.0;13.5;14.2
23.2;89.1;51.9;7.7;10.6;29.2;8.4;3.1;6.0;13.5;14.3
23.4;89.6;52.1;7.7;10.6;29.2;8.4;3.1;6.0;13.5;14.3
23.6;90.2;52.3;7.7;10.6;29.3;8.4;3.1;6.0;13.6;14.4
23.7;90.9;52.5;7.7;10.6;29.4;8.4;3.1;6.0;13.6;14.4
23.9;91.6;52.8;7.8;10.7;29.5;8.4;3.1;6.1;13.6;14.5
24.1;92.4;53.0;7.8;10.7;29.6;8.5;3.2;6.1;13.7;14.6
24.3;93.1;53.4;7.8;10.8;29.7;8.5;3.2;6.1;13.7;14.7
24.5;93.8;53.7;7.9;10.8;29.8;8.5;3.2;6.1;13.8;14.8
24.6;94.4;54.1;7.9;10.9;29.9;8.6;3.2;6.1;13.8;14.8
24.7;95.0;54.5;8.0;11.0;30.1;8.6;3.2;6.1;13.8;14.9
24.8;95.4;54.9;8.0;11.0;30.2;8.6;3.2;6.2;13.8;15.0
24.9;95.9;55.3;8.1;11.1;30.4;8.7;3.2;6.2;13.9;15.0
24.9;96.3;55.7;8.2;11.2;30.7;8.7;3.2;6.2;13.9;15.1
25.0;96.7;56.1;8.2;11.4;31.0;8.8;3.2;6.3;14.0;15.1
25.1;97.1;56.5;8.3;11.5;31.3;8.9;3.3;6.3;14.0;15.2
25.2;97.5;56.8;8.4;11.6;31.7;9.0;3.3;6.4;14.1;15.2
25.3;97.8;57.1;8.4;11.8;32.1;9.1;3.3;6.4;14.2;15.2
25.3;98.1;57.3;8.4;11.9;32.5;9.2;3.4;6.5;14.3;15.3
25.4;98.3;57.5;8.5;12.0;32.8;9.3;3.4;6.5;14.4;15.3
25.4;98.5;57.7;8.5;12.1;33.1;9.3;3.5;6.6;14.5;15.3
25.4;98.5;57.7;8.5;12.1;33.3;9.4;3.5;6.7;14.6;15.3
25.4;98.4;57.7;8.5;12.2;33.4;9.4;3.5;6.7;14.7;15.3
25.4;98.3;57.6;8.5;12.2;33.5;9.4;3.6;6.8;14.8;15.2
25.4;98.1;57.6;8.5;12.2;33.5;9.4;3.6;6.8;14.8;15.2
25.3;97.9;57.4;8.5;12.2;33.5;9.4;3.6;6.9;14.9;15.2
25.3;97.6;57.3;8.4;12.1;33.4;9.4;3.6;6.9;14.9;15.1
25.2;97.4;57.1;8.4;12.1;33.4;9.4;3.6;6.9;15.0;15.1
25.1;97.2;57.0;8.4;12.1;33.3;9.4;3.6;6.9;15.0;15.0
25.1;96.9;56.8;8.4;12.0;33.2;9.4;3.6;6.9;15.0;15.0
25.0;96.7;56.6;8.3;12.0;33.1;9.3;3.6;6.9;15.0;14.9
24.9;96.5;56.4;8.3;12.0;33.0;9.3;3.6;6.9;14.9;14.8
24.8;96.2;56.2;8.3;11.9;32.9;9.3;3.6;6.9;14.9;14.8
24.7;96.0;56.0;8.3;11.9;32.8;9.2;3.6;6.9;14.8;14.7
24.7;95.7;55.7;8.2;11.8;32.7;9.2;3.5;6.8;14.8;14.6
24.6;95.4;55.5;8.2;11.8;32.6;9.1;3.5;6.8;14.7;14.6
24.5;95.1;55.3;8.2;11.7;32.4;9.0;3.5;6.8;14.6;14.5
24.4;94.8;55.0;8.1;11.7;32.3;9.0;3.5;6.7;14.5;14.4
24.3;94.4;54.8;8.1;11.6;32.1;8.9;3.4;6.7;14.4;14.4
24.2;94.0;54.5;8.0;11.6;32.0;8.9;3.4;6.6;14.3;14.3
24.1;93.7;54.3;8.0;11.5;31.8;8.9;3.4;6.6;14.2;14.2
24.0;93.3;54.0;8.0;11.5;31.7;8.8;3.4;6.5;14.1;14.2
23.9;92.9;53.8;7.9;11.4;31.5;8.8;3.4;6.5;14.0;14.1
23.8;92.6;53.5;7.9;11.3;31.4;8.7;3.4;6.4;14.0;14.0
23.7;92.3;53.3;7.9;11.3;31.3;8.7;3.3;6.4;13.9;14.0
23.6;92.0;53.1;7.8;11.3;31.2;8.7;3.3;6.4;13.8;13.9
23.6;91.7;52.9;7.8;11.2;31.1;8.6;3.3;6.4;13.8;13.9
23.5;91.5;52.7;7.8;11.2;31.0;8.6;3.3;6.3;13.7;13.9
23.4;91.3;52.5;7.8;11.2;30.9;8.5;3.3;6.3;13.7;13.8
23.4;91.0;52.3;7.7;11.2;30.9;8.5;3.3;6.3;13.6;13.8
23.3;90.8;52.2;7.7;11.1;30.8;8.4;3.3;6.3;13.5;13.7
23.2;90.6;52.0;7.7;11.1;30.7;8.4;3.2;6.2;13.5;13.7
23.1;90.3;51.8;7.7;11.0;30.6;8.4;3.2;6.2;13.4;13.6
23.1;90.1;51.7;7.6;11.0;30.5;8.3;3.2;6.2;13.4;13.6
23.0;89.9;51.6;7.6;11.0;30.5;8.3;3.2;6.2;13.3;13.6
22.9;89.7;51.4;7.6;10.9;30.4;8.3;3.2;6.2;13.3;13.5
22.9;89.5;51.3;7.6;10.9;30.3;8.3;3.2;6.2;13.3;13.5
22.8;89.3;51.2;7.6;10.9;30.3;8.3;3.2;6.1;13.2;13.4
22.8;89.3;51.2;7.6;10.9;30.2;8.2;3.2;6.1;13.2;13.4
22.8;89.3;51.2;7.6;10.9;30.2;8.2;3.2;6.1;13.2;13.4
22.9;89.4;51.2;7.6;10.9;30.3;8.2;3.2;6.1;13.2;13.4
22.9;89.7;51.4;7.6;11.0;30.4;8.3;3.2;6.1;13.2;13.4
23.0;90.1;51.6;7.6;11.0;30.6;8.3;3.2;6.2;13.3;13.5
23.2;90.6;52.0;7.7;11.1;30.8;8.4;3.3;6.2;13.4;13.6
23.3;91.3;52.4;7.7;11.2;31.1;8.5;3.3;6.3;13.5;13.7
23.5;92.0;52.8;7.8;11.4;31.4;8.5;3.3;6.4;13.7;13.8
23.6;92.6;53.3;7.9;11.5;31.7;8.6;3.4;6.4;13.8;13.9
23.8;93.2;53.6;7.9;11.6;31.9;8.7;3.4;6.5;13.9;13.9
23.9;93.6;53.9;7.9;11.6;32.1;8.7;3.4;6.5;14.0;14.0
23.9;93.7;54.0;8.0;11.6;32.2;8.8;3.4;6.5;14.0;14.0
23.9;93.7;53.9;8.0;11.7;32.2;8.8;3.4;6.5;14.0;14.0
23.9;93.5;53.8;7.9;11.6;32.1;8.7;3.4;6.5;14.0;14.0
23.8;93.3;53.7;7.9;11.6;32.0;8.7;3.4;6.5;13.9;13.9
23.7;93.0;53.5;7.9;11.6;31.9;8.7;3.4;6.5;13.9;13.9
23.7;92.9;53.4;7.9;11.6;31.8;8.7;3.4;6.4;13.8;13.9
23.6;92.8;53.3;7.9;11.6;31.8;8.7;3.4;6.4;13.8;13.9
23.6;92.8;53.3;7.9;11.6;31.8;8.7;3.4;6.4;13.8;13.9
23.6;92.9;53.3;7.9;11.6;31.8;8.7;3.4;6.4;13.8;13.9
23.6;93.0;53.3;7.9;11.6;31.9;8.7;3.4;6.4;13.8;13.9
23.6;93.1;53.3;7.9;11.6;31.9;8.7;3.4;6.4;13.8;13.9
