gen_1_0;gen_2_1;gen_5_2;gen_5_3;gen_7_4;gen_0_5
70.5;69.0;11.6;0.0;0.0;69.0
70.4;68.9;11.6;0.0;0.0;68.9
70.5;69.0;11.6;0.0;0.0;69.0
70.6;69.1;11.7;0.0;0.0;69.1
70.8;69.3;11.7;0.0;0.0;69.3
71.1;69.6;11.8;0.0;0.0;69.6
71.4;69.9;11.8;0.0;0.0;69.9
71.9;70.3;11.8;0.0;0.0;70.3
72.3;70.8;11.9;0.0;0.0;70.8
72.8;71.2;11.9;0.0;0.0;71.2
73.2;71.6;11.8;0.0;0.0;71.6
73.5;72.0;11.9;0.0;0.0;72.0
73.8;72.2;11.9;0.0;0.0;72.2
74.1;72.5;11.9;0.0;0.0;72.5
74.4;72.8;11.9;0.0;0.0;72.8
74.8;73.3;11.8;0.0;0.0;73.3
75.3;73.7;11.8;0.0;0.0;73.7
76.0;74.4;11.8;0.0;0.0;74.4
76.7;75.1;11.8;0.0;0.0;75.1
77.5;75.9;11.8;0.0;0.0;75.9
78.4;76.7;11.8;0.0;0.0;76.7
79.2;77.5;11.8;0.0;0.0;77.5
80.0;78.3;11.7;0.0;0.0;78.3
80.7;79.0;11.7;0.0;0.0;79.0
81.4;79.6;11.7;0.0;0.0;79.6
82.0;80.2;11.6;0.0;0.0;80.2
82.6;80.8;11.6;0.0;0.0;80.8
83.2;81.4;11.5;0.0;0.0;81.4
83.7;81.9;11.5;0.1;0.1;81.9
84.3;82.5;11.4;0.2;0.1;82.5
84.8;83.0;11.4;0.3;0.2;83.0
85.3;83.5;11.3;0.5;0.3;83.5
85.9;84.1;11.3;0.6;0.4;84.1
86.4;84.6;11.2;0.6;0.4;84.6
86.9;85.0;11.2;0.7;0.5;85.0
87.2;85.4;11.1;0.9;0.6;85.4
87.5;85.6;11.1;1.2;0.7;85.6
87.6;85.7;11.0;1.7;0.9;85.7
87.5;85.7;10.9;2.3;1.2;85.7
87.4;85.6;10.9;2.9;1.5;85.6
87.3;85.5;10.8;3.5;1.8;85.5
87.2;85.4;10.8;3.9;2.2;85.4
87.1;85.2;10.7;4.3;2.6;85.2
86.9;85.0;10.7;4.8;3.0;85.0
86.4;84.6;10.6;5.6;3.6;84.6
85.9;84.1;10.5;6.7;4.3;84.1
85.4;83.6;10.4;7.8;5.0;83.6
85.1;83.3;10.4;8.6;5.4;83.3
85.0;83.2;10.3;9.0;5.4;83.2
85.2;83.4;10.3;8.9;5.2;83.4
85.6;83.7;10.2;8.6;4.8;83.7
85.9;84.0;10.2;8.3;4.5;84.0
85.9;84.1;10.1;8.4;4.5;84.1
85.8;83.9;10.1;8.9;4.9;83.9
85.4;83.6;10.0;9.7;5.5;83.6
84.9;83.1;10.0;10.7;6.3;83.1
84.4;82.6;9.9;11.8;7.2;82.6
83.8;82.1;9.8;12.9;8.0;82.1
83.3;81.6;9.8;13.9;8.8;81.6
82.9;81.1;9.7;14.9;9.4;81.1
82.5;80.8;9.7;15.8;9.9;80.8
82.2;80.5;9.6;16.6;10.2;80.5
81.9;80.2;9.6;17.4;10.5;80.2
81.6;79.9;9.5;18.2;10.7;79.9
81.2;79.5;9.5;19.2;11.1;79.5
80.8;79.1;9.4;20.2;11.5;79.1
80.4;78.7;9.3;21.2;11.9;78.7
80.0;78.3;9.3;22.2;12.4;78.3
79.6;77.9;9.2;23.0;12.9;77.9
79.4;77.7;9.2;23.6;13.2;77.7
79.3;77.6;9.2;23.9;13.4;77.6
79.4;77.7;9.1;23.9;13.2;77.7
79.9;78.2;9.1;23.3;12.6;78.2
80.5;78.8;9.0;22.5;11.8;78.8
81.1;79.4;9.0;21.7;11.1;79.4
81.4;79.7;9.0;21.2;10.8;79.7
81.4;79.7;8.9;21.2;11.1;79.7
81.1;79.3;8.9;21.7;11.9;79.3
80.5;78.8;8.9;22.7;12.9;78.8
80.0;78.3;8.9;23.8;13.9;78.3
79.5;77.8;8.8;25.0;14.7;77.8
79.2;77.5;8.8;25.9;15.2;77.5
79.2;77.6;8.8;26.2;15.2;77.6
79.8;78.1;8.8;25.7;14.8;78.1
80.9;79.1;8.8;24.0;13.9;79.1
82.2;80.5;8.8;21.7;12.8;80.5
83.5;81.7;8.8;19.5;11.7;81.7
84.2;82.4;8.8;18.2;11.1;82.4
84.1;82.3;8.8;18.6;11.4;82.3
83.4;81.6;8.8;19.9;12.0;81.6
82.5;80.7;8.8;21.5;12.8;80.7
81.9;80.1;8.9;22.6;13.2;80.1
81.7;80.0;8.9;22.7;13.1;80.0
82.0;80.3;8.9;22.3;12.6;80.3
82.5;80.7;9.0;21.6;12.0;80.7
82.8;81.1;9.0;21.2;11.5;81.1
83.0;81.2;9.0;21.4;11.5;81.2
83.0;81.2;9.1;21.8;11.6;81.2
82.9;81.2;9.2;22.2;11.9;81.2
83.1;81.3;9.2;22.0;12.0;81.3
83.5;81.7;9.2;21.2;12.0;81.7
84.0;82.2;9.3;19.9;11.7;82.2
84.5;82.7;9.3;18.5;11.3;82.7
84.9;83.1;9.3;17.4;10.8;83.1
85.0;83.2;9.4;17.0;10.2;83.2
85.1;83.3;9.4;16.9;9.6;83.3
85.1;83.3;9.5;16.9;9.0;83.3
85.2;83.4;9.5;16.8;8.6;83.4
85.4;83.6;9.5;16.3;8.3;83.6
85.7;83.9;9.5;15.6;8.2;83.9
85.9;84.0;9.5;15.1;8.3;84.0
85.9;84.1;9.5;14.9;8.4;84.1
85.8;83.9;9.5;15.2;8.7;83.9
85.6;83.8;9.6;15.6;8.8;83.8
85.6;83.8;9.6;15.7;8.8;83.8
85.8;84.0;9.6;15.3;8.5;84.0
86.4;84.5;9.5;14.1;7.9;84.5
87.1;85.2;9.5;12.6;7.2;85.2
87.7;85.9;9.5;11.0;6.4;85.9
88.2;86.3;9.4;9.8;5.7;86.3
88.3;86.4;9.4;9.1;5.2;86.4
88.2;86.4;9.4;8.8;4.9;86.4
88.1;86.2;9.4;8.7;4.6;86.2
88.0;86.1;9.3;8.6;4.4;86.1
87.9;86.1;9.3;8.3;4.1;86.1
88.0;86.1;9.2;7.9;3.8;86.1
88.2;86.3;9.2;7.3;3.5;86.3
88.5;86.6;9.1;6.5;3.2;86.6
88.8;86.9;9.1;5.6;2.9;86.9
89.2;87.3;9.0;4.7;2.6;87.3
89.5;87.6;9.0;3.9;2.2;87.6
89.9;87.9;8.9;3.1;1.9;87.9
90.1;88.2;8.8;2.5;1.5;88.2
90.4;88.5;8.8;1.9;1.2;88.5
90.6;88.6;8.7;1.5;0.9;88.6
90.7;88.8;8.7;1.1;0.7;88.8
90.8;88.9;8.6;0.8;0.5;88.9
90.9;89.0;8.6;0.5;0.4;89.0
90.9;89.0;8.5;0.3;0.2;89.0
91.0;89.0;8.4;0.2;0.2;89.0
91.0;89.1;8.4;0.1;0.1;89.1
91.0;89.1;8.4;0.1;0.0;89.1
91.0;89.1;8.3;0.0;0.0;89.1
91.0;89.1;8.2;0.0;0.0;89.1
91.0;89.1;8.2;0.0;0.0;89.1
91.0;89.1;8.2;0.0;0.0;89.1
91.0;89.1;8.1;0.0;0.0;89.1
91.0;89.1;8.0;0.0;0.0;89.1
91.1;89.1;8.0;0.0;0.0;89.1
91.1;89.2;7.9;0.0;0.0;89.2
91.2;89.2;7.9;0.0;0.0;89.2
91.3;89.4;7.8;0.0;0.0;89.4
91.5;89.5;7.8;0.0;0.0;89.5
91.7;89.7;7.8;0.0;0.0;89.7
92.0;90.0;7.7;0.0;0.0;90.0
92.3;90.4;7.6;0.0;0.0;90.4
92.8;90.8;7.6;0.0;0.0;90.8
93.2;91.3;7.6;0.0;0.0;91.3
93.8;91.8;7.5;0.0;0.0;91.8
94.3;92.3;7.5;0.0;0.0;92.3
94.7;92.7;7.4;0.0;0.0;92.7
95.2;93.1;7.4;0.0;0.0;93.1
95.6;93.6;7.4;0.0;0.0;93.6
96.0;94.0;7.3;0.0;0.0;94.0
96.4;94.4;7.3;0.0;0.0;94.4
96.9;94.8;7.3;0.0;0.0;94.8
97.4;95.3;7.2;0.0;0.0;95.3
97.9;95.8;7.2;0.0;0.0;95.8
98.5;96.4;7.2;0.0;0.0;96.4
99.0;96.9;7.2;0.0;0.0;96.9
99.5;97.4;7.1;0.0;0.0;97.4
99.8;97.7;7.1;0.0;0.0;97.7
100.1;98.0;7.1;0.0;0.0;98.0
100.2;98.1;7.0;0.0;0.0;98.1
100.1;98.0;7.1;0.0;0.0;98.0
100.0;97.8;7.0;0.0;0.0;97.8
99.7;97.6;7.0;0.0;0.0;97.6
99.3;97.2;7.0;0.0;0.0;97.2
98.9;96.8;7.0;0.0;0.0;96.8
98.5;96.4;6.9;0.0;0.0;96.4
98.0;95.9;6.9;0.0;0.0;95.9
97.5;95.4;6.9;0.0;0.0;95.4
97.0;94.9;6.9;0.0;0.0;94.9
96.4;94.4;6.9;0.0;0.0;94.4
95.9;93.8;6.9;0.0;0.0;93.8
95.3;93.3;6.9;0.0;0.0;93.3
94.7;92.7;6.9;0.0;0.0;92.7
94.1;92.1;6.9;0.0;0.0;92.1
93.5;91.5;6.9;0.0;0.0;91.5
92.9;90.9;6.9;0.0;0.0;90.9
92.3;90.3;6.9;0.0;0.0;90.3
91.6;89.7;6.9;0.0;0.0;89.7
91.0;89.1;6.9;0.0;0.0;89.1
90.4;88.5;6.8;0.0;0.0;88.5
89.8;87.9;6.9;0.0;0.0;87.9
89.3;87.4;6.9;0.0;0.0;87.4
88.7;86.8;6.9;0.0;0.0;86.8
88.2;86.3;6.8;0.0;0.0;86.3
87.7;85.8;6.8;0.0;0.0;85.8
87.2;85.3;6.8;0.0;0.0;85.3
86.7;84.8;6.8;0.0;0.0;84.8
86.2;84.4;6.8;0.0;0.0;84.4
85.7;83.9;6.9;0.0;0.0;83.9
85.3;83.5;6.8;0.0;0.0;83.5
84.9;83.1;6.8;0.0;0.0;83.1
84.4;82.7;6.8;0.0;0.0;82.7
84.0;82.3;6.8;0.0;0.0;82.3
83.7;81.9;6.8;0.0;0.0;81.9
83.3;81.6;6.8;0.0;0.0;81.6
83.0;81.2;6.8;0.0;0.0;81.2
82.7;81.0;6.8;0.0;0.0;81.0
82.6;80.8;6.7;0.0;0.0;80.8
82.6;80.8;6.7;0.0;0.0;80.8
82.7;80.9;6.7;0.0;0.0;80.9
82.9;81.2;6.6;0.0;0.0;81.2
83.4;81.6;6.7;0.0;0.0;81.6
84.0;82.2;6.6;0.0;0.0;82.2
84.6;82.8;6.6;0.0;0.0;82.8
85.2;83.4;6.5;0.0;0.0;83.4
85.7;83.9;6.5;0.0;0.0;83.9
86.0;84.2;6.5;0.0;0.0;84.2
86.1;84.3;6.5;0.0;0.0;84.3
86.0;84.1;6.5;0.0;0.0;84.1
85.7;83.9;6.4;0.0;0.0;83.9
85.4;83.5;6.5;0.0;0.0;83.5
85.0;83.2;6.4;0.0;0.0;83.2
84.8;83.0;6.4;0.0;0.0;83.0
84.7;82.9;6.3;0.0;0.0;82.9
84.6;82.8;6.4;0.0;0.0;82.8
84.6;82.8;6.3;0.0;0.0;82.8
84.7;82.9;6.3;0.0;0.0;82.9
84.7;82.9;6.3;0.0;0.0;82.9
